country_code,country,year,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp,PC1,PC2,PC3
BGD,Bangladesh,2010,943.66422864236,5.57178818533122,-8.12667639169917,-3.379,68.009,-36.8,49.5031106793162,55.3,3.700000048,37.8028426708321,-5.62573039204665,1.0835043141654872,0.27659399279957997
BGD,Bangladesh,2011,995.579947155662,6.46437912497728,-11.3951651552399,-3.737,68.499,-35.3,49.7515496494472,59.6,4.5,47.4208498356898,-5.24981985490844,1.1991211426619803,0.6988721214833664
BGD,Bangladesh,2012,1050.39140404066,6.52145877906443,-6.21750422069283,-4.07,68.989,-33.9,51.6718482971191,65.5,5.0,48.1109227490467,-4.800961965106738,1.368398159375545,0.23944581146714405
BGD,Bangladesh,2013,1103.15695907123,6.01360565834344,-7.53040640913172,-4.426,69.487,-32.6,55.6214332189314,61.5,6.63,46.2964027228174,-4.7530603216482765,1.1292624938631932,0.3024104418280158
BGD,Bangladesh,2014,1159.40753475981,6.0610593588495,-6.99163889220848,-4.417,70.016,-31.2,57.52158735226355,62.4,9.052900314,44.5140801968096,-4.506832565011584,1.1246025963897466,0.28912117944500343
BGD,Bangladesh,2015,1224.38647668165,6.55263987816197,-6.19428022984983,-4.397,70.543,-29.8,59.4217414855957,74.0,12.36880016,42.0859963070382,-3.754616095668053,1.2419722328087597,0.36834139581087316
BGD,Bangladesh,2016,1299.83091360792,7.11347821270093,-5.51352572692995,-4.35,71.075,-28.5,64.1664546117285,75.9,16.89909935,31.3341501346142,-3.4249982841918087,1.145327069790245,0.48463182334300275
BGD,Bangladesh,2017,1373.75363740186,6.59024999794057,-5.70207015717238,-4.372,71.606,-27.3,62.3408639225315,88.0,21.5,29.9997306724343,-2.684869735274217,1.211997702117444,0.4930111459758477
BGD,Bangladesh,2018,1462.25050255713,7.31941263014136,-5.54362139486476,-4.439,72.122,-26.2,65.2714888764112,86.9,25.56509972,32.5146317240884,-2.4937460620745293,1.2357589632620043,0.5711468511877009
BGD,Bangladesh,2019,1564.20802445636,7.88191515117722,-5.59199639930629,-4.504,72.625,-25.4,65.1185413488915,92.2,30.38310051,31.5780544912404,-2.083456779842444,1.323713884198923,0.6963651375432515
BGD,Bangladesh,2020,1604.6659234742,3.44801755122445,-5.69107474746211,-5.539,71.421,-24.8,66.4329548486639,96.2,36.10910034,26.271447376215,-1.7763180427425427,0.551034090632931,-0.0059334758334625235
BGD,Bangladesh,2021,1702.08028414189,6.93867912442445,-5.54565430773473,-5.457,71.103,-24.5,66.8282318620991,99.0,38.91744466,27.7240047036631,-1.6795621549157902,0.9256656258178275,0.4886347587301897
BGD,Bangladesh,2022,1804.3493461776,7.09982877575158,-7.69695437176898,-4.593,74.265,-24.4,67.0384586440383,99.4,41.61650085,33.7799672705735,-1.2365762306883914,1.1993340360720208,0.832444160165739
BGD,Bangladesh,2023,1885.37733613545,5.77511237007889,-9.8835030377921,-3.352,74.672,-24.4,65.9856598598849,99.5,44.50274195,30.9829714104596,-1.1114377098109995,1.1024426128289793,0.8838114941097883
BRA,Brazil,2010,8792.63334959864,7.52822581812151,-5.03872690108074,-8.42,73.779,-16.0,94.5829467773438,98.6,40.65,22.7721781132208,0.3492170487727075,-0.21949990532763275,0.979608997852495
BRA,Brazil,2011,9067.99212019529,3.97442307944702,-6.6364496221309,-7.578,74.047,-15.3,94.5829467773438,99.3,45.69,23.9344051765103,0.6802995993160116,-0.6121781083892448,0.5918449997868218
BRA,Brazil,2012,9167.49818450433,1.92117598509462,-5.40349914036997,-7.251,74.335,-14.8,94.5829467773438,99.5,48.56,25.1142736103322,0.870745860683498,-0.7731460579717435,0.15334956579806688
BRA,Brazil,2013,9366.73824670239,3.0048226702888,-6.204310666401,-7.071,74.609,-14.4,104.086219787598,99.6,51.04,25.7859573281452,1.174075272930304,-0.9138349695991128,0.4051391539838746
