country,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp
Bangladesh,-1.207998916655517,0.6580718831445571,0.17023036232302374,0.2748538292010775,0.281123703693774,-1.1973803659301572,-1.9470107552796891,0.2470295158125992,-2.3593320478221114,-0.9152619496198715
Brazil,0.5626583489324193,-1.0373634650236923,0.0861833065306323,-0.2784326551021331,0.455166316736888,0.39153095010519023,1.0437973763766946,0.4024190499527805,0.4105934814961678,-0.8104913191475226
China,1.248241119859109,-0.9885763475174205,0.474075618039638,0.22868697507745897,1.4099635184396395,1.4418282607048265,0.004000020113615126,0.4024190499527805,0.06061350041248546,-0.8391039191853219
"Egypt, Arab Rep.",-0.6628100714169496,0.4454816842542667,-0.15884930456960278,0.04187226304235164,-0.6521690565291849,-0.8472812623969453,-0.6984671801534649,0.4024190499527805,-0.18236120723486263,-0.8486241082779187
India,-1.1360083488202457,0.8696460315123166,0.22320839114094135,0.24753545815635233,-0.45490164668789906,-1.3724299176967634,-0.8532714536826653,0.19523300443253755,-1.3425508122650263,-0.5762556560344059
Indonesia,-0.6640033005580245,-0.08628051398970694,0.35537575363679075,0.4097755656708772,-0.6765407568729511,-0.10668700492284262,0.43381395427095865,0.4024190499527805,-0.5890774835552404,-0.6721742414800072
Malaysia,1.0917112274788767,1.4602560743207749,0.3994798256258541,0.3539458816144084,0.6191735237561002,1.1590559078510783,-1.0345630977742148,0.4024190499527805,1.6115599708655324,1.4281888796358786
Mexico,0.8030248762881368,-0.7495837981303198,0.15964867774357788,0.4343501701914597,0.19739974486578446,0.36460024983340455,0.47565458643165703,0.4024190499527805,0.27565581531179895,0.22933929596954472
Philippines,-0.7735614496862203,0.8578606524579884,0.2698134604655963,0.5128457516212813,-1.0931534698081167,-0.9280733632123017,0.006395277029501883,-0.9442902459288042,0.03212698018841849,-0.11119606746627599
South Africa,-0.23235842511564353,-1.4353843242475681,0.20511380221458056,-3.145907261224659,-2.2452180813521583,-1.1839150157942646,0.9535018072345847,-3.0938454682013314,0.2515251851634737,-0.26686247590949036
Thailand,-0.11184728214944979,-1.2185343074799566,0.6643581721640293,0.7106355297529595,0.5753044631373235,0.9840063560844724,-0.3204332962259646,0.3765207942627515,0.9408911155395321,1.1459650371183903
Turkiye,1.8467238042140326,-0.030628264253509254,-3.2599136713089254,-0.42564169383222406,1.234774001850935,0.943610305676794,1.843468064375965,0.4024190499527805,0.6177022833633692,0.044179905926851205
Viet Nam,-0.7637715823705263,1.2550346949522684,0.41127560599386265,0.6354801858307898,0.34907773876991427,0.3511348996975118,0.09311469728301724,0.4024190499527805,0.27265321853646346,2.19229661847015
